handle,title,price_ghs,in_stock,categories,image_file,proposed_requires_prescription,confidence,rule,pharmacist_decision,pharmacist_notes
cerave-moisturizing-body-lotion,CERAVE MOISTURIZING BODY LOTION,175.00,yes,Beauty & Toiletries,cerave-moisturizing-body-lotion.jpg,NO,high,general-sale: lotion,,
cerave-retinol-serum,CERAVE RETINOL SERUM,204.00,yes,Beauty & Toiletries,cerave-retinol-serum.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cervical-collar-soft-collar,CERVICAL COLLAR (SOFT COLLAR),120.00,yes,Other,cervical-collar-soft-collar.webp,NO,medium,consumer category: Other,,
cetaphil-body-cleansers-473ml,CETAPHIL BODY CLEANSERS 473ML,250.00,yes,Beauty & Toiletries,cetaphil-body-cleansers-473ml.webp,NO,medium,consumer category: Beauty & Toiletries,,
cetaphil-make-up-remover-177ml,CETAPHIL MAKE-UP REMOVER 177ML,90.00,yes,Beauty & Toiletries,cetaphil-make-up-remover-177ml.webp,NO,medium,consumer category: Beauty & Toiletries,,
challenge-insect-repellent-camphor,CHALLENGE INSECT REPELLENT (CAMPHOR),8.00,yes,Other,challenge-insect-repellent-camphor.jpg,NO,medium,consumer category: Other,,
chambers-pomade,CHAMBERS POMADE,30.00,yes,Beauty & Toiletries,chambers-pomade.jpg,NO,medium,consumer category: Beauty & Toiletries,,
chapter-2000,CHAPTER 2000,29.00,yes,Beauty & Toiletries,chapter-2000.jpg,NO,medium,consumer category: Beauty & Toiletries,,
charm-starch-spray-easy-iron,CHARM STARCH SPRAY & EASY IRON,26.00,yes,Other,charm-starch-spray-easy-iron.jpg,NO,medium,consumer category: Other,,
cherry-blossom-salt-scrub,CHERRY BLOSSOM SALT SCRUB,65.00,no,Beauty & Toiletries,cherry-blossom-salt-scrub.jpg,NO,medium,consumer category: Beauty & Toiletries,,
chewable-vitamin-c-500mg-60s,CHEWABLE VITAMIN C 500MG 60S,65.00,no,Vitamins & Supplements,chewable-vitamin-c-500mg-60s.jpg,NO,medium,general-sale active (vitamin) in a dosage form,,
chocho-cream,CHOCHO CREAM,12.00,yes,Other,chocho-cream.jpg,NO,medium,consumer category: Other,,
chupa-chop-lip-balm,CHUPA CHOP LIP BALM,20.00,yes,Beauty & Toiletries,chupa-chop-lip-balm.webp,NO,medium,consumer category: Beauty & Toiletries,,
cialis-20mg,CIALIS 20MG,176.00,no,,cialis-20mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
cien-floral-bouqet,CIEN FLORAL BOUQET,48.00,yes,Beauty & Toiletries,cien-floral-bouqet.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cien-invisible-fresh,CIEN INVISIBLE FRESH,50.00,yes,Beauty & Toiletries,cien-invisible-fresh.jpg,NO,medium,consumer category: Beauty & Toiletries,,
cien-men,CIEN MEN,50.00,yes,Beauty & Toiletries,cien-men.webp,NO,medium,consumer category: Beauty & Toiletries,,
cien-original,CIEN ORIGINAL,48.00,yes,Beauty & Toiletries,cien-original.jpg,NO,medium,consumer category: Beauty & Toiletries,,
ciprinol-tabs-500mg,CIPRINOL TABS 500MG,150.00,yes,,ciprinol-tabs-500mg.jpg,YES,high,prescription-only active: ciprinol,,
ciprofloxacin-cipro-denk-500mg-tabs-10s,CIPROFLOXACIN (CIPRO DENK) 500MG TABS 10S,130.00,yes,,ciprofloxacin-cipro-denk-500mg-tabs-10s.jpg,YES,high,prescription-only active: ciproflox,,
ciprolex-500mg-tabs,CIPROLEX 500MG TABS,30.00,yes,,ciprolex-500mg-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
ciprolex-eye-ointment-40g,CIPROLEX EYE OINTMENT 40G,30.00,yes,,ciprolex-eye-ointment-40g.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
ciprolex-eye-ear-drops-5ml-1,CIPROLEX EYE/EAR DROPS 5ML,30.00,yes,,ciprolex-eye-ear-drops-5ml-1.jpg,NO,low,REVIEW — no category and no dosage form,,
citro-c-syrup,CITRO C SYRUP,17.00,yes,Vitamins & Supplements,citro-c-syrup.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
clarithromycin-500mg-b-clar,CLARITHROMYCIN 500MG (B-CLAR),50.00,yes,,clarithromycin-500mg-b-clar.jpg,YES,high,prescription-only active: clarithro,,
clarithromycin-500mg-tab-exeter,CLARITHROMYCIN 500MG TAB (EXETER),98.00,no,,clarithromycin-500mg-tab-exeter.jpg,YES,high,prescription-only active: clarithro,,
classic-intimate-wipes,CLASSIC INTIMATE WIPES,10.00,yes,Beauty & Toiletries,classic-intimate-wipes.png,NO,high,general-sale: wipes,,
clean-and-clear-blackhead-scrub-150ml,CLEAN AND CLEAR BLACKHEAD SCRUB 150ML,26.40,no,Beauty & Toiletries,clean-and-clear-blackhead-scrub-150ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
clean-sponge,CLEAN SPONGE FACIAL CLEANSING PADS,79.00,yes,Beauty & Toiletries | Feminine Care,clean-sponge.jpg,NO,high,general-sale: pads,,
clear-essence-lotion,CLEAR ESSENCE LOTION,111.00,no,Beauty & Toiletries,clear-essence-lotion.jpg,NO,high,general-sale: lotion,,
clear-essence-medicated-fade-cream-113-5,CLEAR ESSENCE MEDICATED FADE CREAM 113.5,111.00,no,Beauty & Toiletries,clear-essence-medicated-fade-cream-113-5.jpg,NO,medium,consumer category: Beauty & Toiletries,,
clere-cocoa-lotion,CLERE COCOA LOTION,42.00,yes,Beauty & Toiletries,clere-cocoa-lotion.jpg,NO,high,general-sale: lotion,,
clere-cream,CLERE CREAM,48.00,yes,Beauty & Toiletries,clere-cream.jpg,NO,medium,consumer category: Beauty & Toiletries,,
clindamycin-gel-1-tidact,CLINDAMYCIN GEL 1% (TIDACT),59.00,yes,,clindamycin-gel-1-tidact.jpg,YES,high,prescription-only active: clindamyc,,
co-amoksiclav-457-susp-vega,CO-AMOKSICLAV 457 SUSP. (VEGA),52.00,yes,,co-amoksiclav-457-susp-vega.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
coartem-80-480-6s,COARTEM 80/480 6'S,114.00,yes,,coartem-80-480-6s.jpg,NO,low,REVIEW — no category and no dosage form,,
coconut-salt-scrab,COCONUT SALT SCRAB,65.00,yes,Beauty & Toiletries,coconut-salt-scrab.webp,NO,medium,consumer category: Beauty & Toiletries,,
coconut-salt-scrub-dead-sea,COCONUT SALT SCRUB DEAD SEA,65.00,yes,Beauty & Toiletries,coconut-salt-scrub-dead-sea.jpg,NO,medium,consumer category: Beauty & Toiletries,,
colgate-charcoal-toothbrush,COLGATE CHARCOAL TOOTHBRUSH,15.00,yes,Beauty & Toiletries,colgate-charcoal-toothbrush.jpg,NO,high,general-sale: toothbrush,,
colgate-first-smiles-0-5,COLGATE FIRST SMILES,32.00,yes,Baby,colgate-first-smiles-0-5.jpg,NO,medium,consumer category: Baby,,
colgate-first-smiles-0-2,COLGATE FIRST SMILES 0-2,32.00,yes,Baby,colgate-first-smiles-0-2.jpg,NO,medium,consumer category: Baby,,
colgate-mouthwash-500ml,COLGATE MOUTHWASH 500ML,57.00,yes,Beauty & Toiletries,colgate-mouthwash-500ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
collagen-peptides-gg,COLLAGEN PEPTIDES GUMMIES 60'S,360.00,yes,Vitamins & Supplements,collagen-peptides-gg.jpg,NO,medium,consumer category: Vitamins & Supplements,,
colour-me-perfume-1,COLOUR ME PERFUME,115.00,yes,Beauty & Toiletries,colour-me-perfume-1.jpg,NO,high,general-sale: perfume,,
colour-me-perfume,COLOUR ME PERFUME,96.00,yes,Beauty & Toiletries,colour-me-perfume.jpg,NO,high,general-sale: perfume,,
comfort-fab-cond,COMFORT FAB COND,65.00,yes,Other,comfort-fab-cond.jpg,NO,medium,consumer category: Other,,
comfort-fab-cond-1-9l,COMFORT FAB COND 1.9L,69.00,yes,Other,comfort-fab-cond-1-9l.webp,NO,medium,consumer category: Other,,
comfort-fabric-cond,COMFORT FABRIC COND,155.00,yes,Other,comfort-fabric-cond.jpg,NO,medium,consumer category: Other,,
comit-50mg,COMIT 50MG,21.00,yes,,comit-50mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
congestyl-syrup-60ml,CONGESTYL SYRUP 60ML,37.00,yes,,congestyl-syrup-60ml.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
congestyl-tabs,CONGESTYL TABS,21.00,yes,,congestyl-tabs.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
cool-eye-drops,COOL EYE DROPS,72.00,yes,,cool-eye-drops.jpg,NO,low,REVIEW — no category and no dosage form,,
cotton-100g,COTTON 100G,20.00,yes,Other,,NO,medium,consumer category: Other,,
cotton-50g,COTTON 50G,12.00,yes,Other,cotton-50g.png,NO,medium,consumer category: Other,,
cotton-bud-s-s,COTTON BUD S/S,6.00,yes,Other,cotton-bud-s-s.jpg,NO,medium,consumer category: Other,,
creightons-hand-cream,CREIGHTONS HAND CREAM,35.00,yes,Beauty & Toiletries,creightons-hand-cream.png,NO,medium,consumer category: Beauty & Toiletries,,
crepe-bandage-2-inch,CREPE BANDAGE 2 INCH,7.00,yes,Other,crepe-bandage-2-inch.jpg,NO,high,general-sale: bandage,,
crepe-bandage-3,"CREPE BANDAGE 3""""",8.00,yes,Other,crepe-bandage-3.webp,NO,high,general-sale: bandage,,
crepe-bandage-6,"CREPE BANDAGE 6""""",13.00,yes,Other,crepe-bandage-6.jpg,NO,high,general-sale: bandage,,
crepe-bandage-elastic-4,CREPE BANDAGE ELASTIC 4'',12.00,yes,Other,crepe-bandage-elastic-4.jpg,NO,high,general-sale: bandage,,
crepe-bandage-elastic-6,"CREPE BANDAGE ELASTIC 6""""",16.00,yes,Other,crepe-bandage-elastic-6.webp,NO,high,general-sale: bandage,,
cussons-powder,CUSSONS POWDER,20.00,yes,Baby,cussons-powder.webp,NO,medium,consumer category: Baby,,
daflon-diosmin-500mg-tabs-30s,DAFLON (DIOSMIN) 500MG TABS 30S,10.00,yes,,daflon-diosmin-500mg-tabs-30s.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
dannex-sulphur-ointment-40g,DANNEX SULPHUR OINTMENT 40G,18.00,yes,,dannex-sulphur-ointment-40g.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
daonil-glibenclamide-5mg-tabs,DAONIL (GLIBENCLAMIDE)  5MG TABS,150.00,yes,,daonil-glibenclamide-5mg-tabs.webp,YES,high,prescription-only active: glibenclam,,
dax-hair-pomade,DAX HAIR POMADE,90.00,yes,Beauty & Toiletries,dax-hair-pomade.jpg,NO,medium,consumer category: Beauty & Toiletries,,
dead-sea-salt-scrub-coconut,DEAD SEA SALT SCRUB COCONUT,95.00,yes,Beauty & Toiletries,dead-sea-salt-scrub-coconut.jpg,NO,medium,consumer category: Beauty & Toiletries,,
dear-body-body-splash-2,DEAR BODY BODY SPLASH,50.00,yes,Beauty & Toiletries,dear-body-body-splash-2.jpg,NO,medium,consumer category: Beauty & Toiletries,,
dear-body-body-splash-1,DEAR BODY BODY SPLASH,50.00,yes,Beauty & Toiletries,dear-body-body-splash-1.webp,NO,medium,consumer category: Beauty & Toiletries,,
dear-body-body-splash,DEAR BODY BODY SPLASH,50.00,yes,Beauty & Toiletries,dear-body-body-splash.jpg,NO,medium,consumer category: Beauty & Toiletries,,
dear-body-gift-set-3-in-1,DEAR BODY GIFT SET 3 IN 1,137.00,no,Beauty & Toiletries,dear-body-gift-set-3-in-1.webp,NO,medium,consumer category: Beauty & Toiletries,,
deep-freeze-cold-spray-150ml,DEEP FREEZE COLD SPRAY 150ML,108.00,yes,,deep-freeze-cold-spray-150ml.jpg,NO,low,REVIEW — no category and no dosage form,,
deep-fregrance,DEEP FREGRANCE,145.00,yes,Beauty & Toiletries,deep-fregrance.jpg,NO,medium,consumer category: Beauty & Toiletries,,
deep-heat-rub-35g,DEEP HEAT RUB 35G,51.00,yes,,deep-heat-rub-35g.webp,NO,low,REVIEW — no category and no dosage form,,
deep-heat-rub-67g,DEEP HEAT RUB 67G,60.00,yes,,deep-heat-rub-67g.jpg,NO,low,REVIEW — no category and no dosage form,,
defence-tea,DEFENCE TEA,49.00,yes,Other,defence-tea.jpg,NO,medium,consumer category: Other,,
degree-deo-stick,DEGREE DEO STICK,72.00,yes,Beauty & Toiletries,degree-deo-stick.webp,NO,medium,consumer category: Beauty & Toiletries,,
degree-men-deodorant-ultra-clear,Degree men deodorant (Ultra Clear),146.00,yes,Beauty & Toiletries,degree-men-deodorant-ultra-clear.jpg,NO,high,general-sale: deodorant,,
derma-lip-balm,DERMA LIP BALM,30.00,yes,Beauty & Toiletries,derma-lip-balm.jpg,NO,medium,consumer category: Beauty & Toiletries,,
detangle-hair-brush,DETANGLE HAIR BRUSH,20.00,yes,Beauty & Toiletries,detangle-hair-brush.webp,NO,medium,consumer category: Beauty & Toiletries,,
dettol,DETTOL,70.00,yes,Other,dettol.jpg,NO,medium,consumer category: Other,,
devamin-multivitamin-syrup,DEVAMIN MULTIVITAMIN SYRUP,39.00,yes,Vitamins & Supplements,devamin-multivitamin-syrup.webp,NO,medium,general-sale active (vitamin) in a dosage form,,
dexamethasone-tabs-0-5mg,DEXAMETHASONE TABS 0.5MG,5.00,yes,,dexamethasone-tabs-0-5mg.png,YES,high,prescription-only active: dexamethas,,
dextrolite,DEXTROLITE,2.50,yes,,dextrolite.jpg,NO,low,REVIEW — no category and no dosage form,,
diagellates-elixir-125ml,DIAGELLATES ELIXIR 125ML,26.00,yes,,diagellates-elixir-125ml.png,NO,low,REVIEW — no category and no dosage form,,
diazepam-5mg-tabs,DIAZEPAM 5MG TABS,1.00,yes,,,YES,high,controlled substance: diazepam,,
diazepam-tabs-10mg-500s,DIAZEPAM TABS 10MG 500S,1.00,yes,,diazepam-tabs-10mg-500s.png,YES,high,controlled substance: diazepam,,
diclo-denk-supp-100mg,DICLO-DENK SUPP 100MG,8.50,yes,,diclo-denk-supp-100mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
diclofenac-supp-100mg-reyoung-10s,DICLOFENAC SUPP. 100MG (REYOUNG) 10'S,2.00,yes,,diclofenac-supp-100mg-reyoung-10s.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
domadol-tramadol-50mg-100s,DOMADOL (TRAMADOL) 50MG 100S,25.00,yes,,,YES,high,controlled substance: tramadol,,
dove-deo-spray-men-250ml,DOVE DEO SPRAY MEN,46.00,yes,Beauty & Toiletries,dove-deo-spray-men-250ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
dove-hand-cream,DOVE HAND CREAM,55.00,yes,Beauty & Toiletries,dove-hand-cream.webp,NO,medium,consumer category: Beauty & Toiletries,,
dove-roll-on-women,DOVE ROLL ON WOMEN,21.00,yes,Beauty & Toiletries,dove-roll-on-women.jpg,NO,high,general-sale: roll on,,
dr-teals-wash,DR. TEALS WASH,150.00,yes,Beauty & Toiletries,dr-teals-wash.webp,NO,medium,consumer category: Beauty & Toiletries,,
dulcolax-10mg-suppository-12s,DULCOLAX  10MG SUPPOSITORY 12'S,9.00,yes,,dulcolax-10mg-suppository-12s.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
dulcolax-5mg-tab-20s,DULCOLAX 5MG TAB 20'S,4.50,yes,,dulcolax-5mg-tab-20s.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
durex-extra-safe-12ss,DUREX EXTRA SAFE 12SS,105.00,yes,,durex-extra-safe-12ss.jpg,NO,low,REVIEW — no category and no dosage form,,
durex-feel-condom,DUREX FEEL CONDOM,14.00,yes,Other,durex-feel-condom.jpg,NO,medium,consumer category: Other,,
durex-play-lube-50ml,DUREX PLAY (LUBE) 50ML,112.00,yes,,durex-play-lube-50ml.webp,NO,low,REVIEW — no category and no dosage form,,
durex-play-lube-200ml,DUREX PLAY LUBE 200ML,220.00,yes,Other,durex-play-lube-200ml.webp,NO,medium,consumer category: Other,,
duromine-caps-30mg,DUROMINE CAPS 30MG,1170.00,yes,,duromine-caps-30mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
dymol-tabs-50mg-500mg,DYMOL TABS 50MG/500MG,13.00,no,,dymol-tabs-50mg-500mg.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
dynamogen-oral-solution,DYNAMOGEN ORAL SOLUTION,7.00,yes,,dynamogen-oral-solution.jpg,NO,low,REVIEW — no category and no dosage form,,
dynewell-syrup,DYNEWELL SYRUP,11.00,yes,,dynewell-syrup.png,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
e45-cream-125g,E45 CREAM 125G,140.00,yes,,e45-cream-125g.jpg,NO,low,REVIEW — no category and no dosage form,,
e45-cream-50g,E45 CREAM 50G,52.00,yes,Other,e45-cream-50g.jpg,NO,medium,consumer category: Other,,
e45-lotion-500ml,E45 LOTION 500ML,143.00,yes,Beauty & Toiletries,e45-lotion-500ml.png,NO,high,general-sale: lotion,,
easy-check-pregnancy-test-in-a-box-pack,EASY CHECK PREGNANCY TEST (IN A BOX PACK),11.00,yes,Other,,NO,medium,consumer category: Other,,
easylife-vit-c,EASYLIFE VIT C,59.00,yes,Vitamins & Supplements,easylife-vit-c.jpg,NO,medium,consumer category: Vitamins & Supplements,,
ebin-lace-adhesive-spray,EBIN  LACE ADHESIVE SPRAY,84.00,yes,Beauty & Toiletries,ebin-lace-adhesive-spray.jpg,NO,medium,consumer category: Beauty & Toiletries,,
efpac-jnr-syrup,EFPAC JNR SYRUP,17.50,yes,,efpac-jnr-syrup.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
elizabeth-taylor-white-diamonds,Elizabeth Taylor white Diamonds,780.00,yes,Beauty & Toiletries,elizabeth-taylor-white-diamonds.jpg,NO,medium,consumer category: Beauty & Toiletries,,
enafix-tab-200mg-cefixime,ENAFIX TAB 200MG (CEFIXIME),3.00,yes,,enafix-tab-200mg-cefixime.jpg,YES,high,prescription-only active: cefixim,,
enamycin-250mg-tabs-erythromycin,ENAMYCIN 250MG TABS (ERYTHROMYCIN),1.00,yes,,enamycin-250mg-tabs-erythromycin.jpg,YES,high,prescription-only active: erythromyc,,
enaphage-metformin-tab-500mg,ENAPHAGE (METFORMIN) TAB 500MG,3.00,yes,,enaphage-metformin-tab-500mg.jpg,YES,high,prescription-only active: metformin,,
energizer-aa-2,ENERGIZER AA*2,28.00,yes,Other,energizer-aa-2.jpg,NO,medium,consumer category: Other,,
energizer-aaa-2,ENERGIZER AAA*2,40.00,yes,Other,energizer-aaa-2.webp,NO,medium,consumer category: Other,,
ensure-original-nutritional-shake,ENSURE ORIGINAL NUTRITIONAL SHAKE,42.00,yes,Vitamins & Supplements,ensure-original-nutritional-shake.jpg,NO,medium,consumer category: Vitamins & Supplements,,
epilim-tabs-200mg,EPILIM TABS 200MG,29.00,yes,,epilim-tabs-200mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
essential-embrocation-27ml,ESSENTIAL EMBROCATION 27ML,17.00,yes,Other,essential-embrocation-27ml.jpg,NO,medium,consumer category: Other,,
euthymol-t-paste,EUTHYMOL T/PASTE,48.00,yes,Beauty & Toiletries,euthymol-t-paste.jpg,NO,medium,consumer category: Beauty & Toiletries,,
evanova-caps,EVANOVA CAPS,104.00,yes,,evanova-caps.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
eversheen-cream-b-s,EVERSHEEN CREAM B/S,32.00,yes,Beauty & Toiletries,eversheen-cream-b-s.jpg,NO,medium,consumer category: Beauty & Toiletries,,
exforge-10-160mg-tabs-28s,EXFORGE  10/160MG TABS 28'S,17.00,yes,,exforge-10-160mg-tabs-28s.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
exforge-hct-10mg-160mg-25mg-tabs-28s,EXFORGE HCT 10MG/160MG/25MG TABS 28S,16.00,yes,,exforge-hct-10mg-160mg-25mg-tabs-28s.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
extraimmune-syrup-200ml,EXTRAIMMUNE SYRUP 200ML,78.00,yes,,extraimmune-syrup-200ml.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
ezy-dose-push-button-pill-case-am-pm,Ezy dose push button pill case Am&Pm,145.00,yes,Other,ezy-dose-push-button-pill-case-am-pm.jpg,NO,medium,consumer category: Other,,
f-w-anti-blemish-pureskin-cream,F&W ANTI BLEMISH PURESKIN CREAM,90.00,yes,Beauty & Toiletries,f-w-anti-blemish-pureskin-cream.webp,NO,medium,consumer category: Beauty & Toiletries,,
face-mask-black,FACE MASK - BLACK,2.00,no,Other,face-mask-black.jpg,NO,medium,consumer category: Other,,
fair-white-exclusive-lotion,FAIR & WHITE EXCLUSIVE LOTION,250.00,yes,Beauty & Toiletries,fair-white-exclusive-lotion.webp,NO,high,general-sale: lotion,,
family-care-1-weak-pills-chest,FAMILY CARE 1 WEAK PILLS CHEST,45.00,yes,,family-care-1-weak-pills-chest.jpg,NO,low,REVIEW — no category and no dosage form,,
faytex,FAYTEX,19.00,yes,Feminine Care,faytex.webp,NO,medium,consumer category: Feminine Care,,
feeder-in-bag,FEEDER IN BAG,52.00,yes,Baby,feeder-in-bag.webp,NO,medium,consumer category: Baby,,
feeder-in-box,FEEDER IN BOX,40.00,yes,Baby,feeder-in-box.jpg,NO,medium,consumer category: Baby,,
femfresh-intimate-wash-250ml,FEMFRESH INTIMATE WASH 250ML,56.00,yes,Beauty & Toiletries | Feminine Care,femfresh-intimate-wash-250ml.jpg,NO,medium,consumer category: Beauty & Toiletries,,
ferofix-syrup,FEROFIX SYRUP,11.00,yes,,ferofix-syrup.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
feroglobin-caps-30s,FEROGLOBIN CAPS 30S,105.00,yes,Vitamins & Supplements,feroglobin-caps-30s.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
feroglobin-plus,FEROGLOBIN PLUS,196.00,yes,,feroglobin-plus.jpg,NO,low,REVIEW — no category and no dosage form,,
fiesta-condom-all-types,FIESTA CONDOM ALL TYPES,9.00,yes,Other,fiesta-condom-all-types.jpg,NO,medium,consumer category: Other,,
first-aid-bag-red,FIRST AID BAG RED,50.00,yes,Other,first-aid-bag-red.jpg,NO,medium,consumer category: Other,,
first-aid-bag-navy-2-in-1,FIRST AID KIT,280.00,yes,Other,first-aid-bag-navy-2-in-1.jpg,NO,medium,consumer category: Other,,
fish-pacifier,FISH PACIFIER,20.00,yes,Baby,fish-pacifier.jpg,NO,medium,consumer category: Baby,,
fishermans-friend,FISHERMAN'S FRIEND,26.00,yes,,fishermans-friend.jpg,NO,low,REVIEW — no category and no dosage form,,
fishmonger-mackerel-fillets-in-tomato,FISHMONGER MACKEREL FILLETS IN TOMATO,22.00,yes,Other,fishmonger-mackerel-fillets-in-tomato.jpg,NO,medium,consumer category: Other,,
fishmonger-sardine-in-sunflower,FISHMONGER SARDINE IN SUNFLOWER,22.00,yes,Other,fishmonger-sardine-in-sunflower.webp,NO,medium,consumer category: Other,,
flucor-day-gel-8s,FLUCOR DAY GEL 8'S,70.00,yes,,flucor-day-gel-8s.jpg,NO,low,REVIEW — no category and no dosage form,,
flurest-tabs,FLUREST TABS,45.00,yes,,flurest-tabs.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
flushable-toilet-seat-covers,FLUSHABLE TOILET SEAT COVERS,60.00,yes,Other,,NO,medium,consumer category: Other,,
fluxacin-caps-500mg,FLUXACIN CAPS 500MG,2.00,yes,,,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
folic-acid-5mg-pharmanova,FOLIC ACID 5MG (PHARMANOVA),1.00,yes,,folic-acid-5mg-pharmanova.webp,NO,medium,general-sale active (folic acid) in a dosage form,,
foligrow-caps-30s,FOLIGROW CAPS 30S,28.00,yes,,foligrow-caps-30s.webp,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
fresh-breath,FRESH BREATH,24.00,yes,Beauty & Toiletries,fresh-breath.jpg,NO,medium,consumer category: Beauty & Toiletries,,
fridge-odor-absorber,FRIDGE ODOR ABSORBER,40.00,yes,Other,fridge-odor-absorber.webp,NO,medium,consumer category: Other,,
fruiser-bath-gel-1l,FRUISER BATH GEL 1L,72.00,yes,Beauty & Toiletries,fruiser-bath-gel-1l.jpg,NO,medium,consumer category: Beauty & Toiletries,,
funtime-lubes-75mls,FUNTIME LUBES 75MLS,51.00,yes,Other,funtime-lubes-75mls.jpg,NO,medium,consumer category: Other,,
gacet-250mg-supp-para-1,GACET 250MG SUPP (PARA),2.00,yes,,gacet-250mg-supp-para-1.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
gacet-250mg-supp-para,GACET 250MG SUPP (PARA),2.00,yes,,gacet-250mg-supp-para.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
galaxy-plus-xpose-deo-spray,GALAXY PLUS XPOSE DEO SPRAY,30.00,yes,Beauty & Toiletries,galaxy-plus-xpose-deo-spray.jpg,NO,medium,consumer category: Beauty & Toiletries,,
galvus-met-50-1000mg,GALVUS MET 50/1000MG,11.00,yes,,galvus-met-50-1000mg.jpg,YES,low,"REVIEW — dosage form, no consumer category, active not recognised",,
gilette-sensor-3-shaving-stick-single-stick-6s,GILETTE SENSOR 3 SHAVING STICK SINGLE STICK 6S,130.00,yes,Other,gilette-sensor-3-shaving-stick-single-stick-6s.jpg,NO,medium,consumer category: Other,,
gilette-shave-gel,GILETTE SHAVE GEL,55.00,yes,Other,gilette-shave-gel.jpg,NO,medium,consumer category: Other,,
gillette-gel-stick,GILLETTE GEL STICK,52.00,yes,Beauty & Toiletries,gillette-gel-stick.jpg,NO,medium,consumer category: Beauty & Toiletries,,
gillette-guard,GILLETTE GUARD,17.00,yes,Beauty & Toiletries | Other,gillette-guard.jpg,NO,medium,consumer category: Beauty & Toiletries,,
glo-power-multivitamin-caps,GLO POWER MULTIVITAMIN CAPS,23.00,yes,Vitamins & Supplements,glo-power-multivitamin-caps.jpg,NO,medium,general-sale active (vitamin) in a dosage form,,
glow-body-butter,GLOW BODY BUTTER,165.00,yes,Beauty & Toiletries,glow-body-butter.webp,NO,medium,consumer category: Beauty & Toiletries,,
glow-collagen-salicylic-acid,GLOW COLLAGEN & SALICYLIC ACID,110.00,yes,Beauty & Toiletries,glow-collagen-salicylic-acid.jpg,NO,medium,consumer category: Beauty & Toiletries,,
glow-face-scrab,GLOW FACE SCRAB,90.00,yes,Beauty & Toiletries,glow-face-scrab.jpg,NO,medium,consumer category: Beauty & Toiletries,,
glow-recipe-niacinamide-dew-drops-15mls,Glow recipe Niacinamide Dew drops 15mls,399.00,yes,Beauty & Toiletries,glow-recipe-niacinamide-dew-drops-15mls.jpg,NO,medium,consumer category: Beauty & Toiletries,,
gold-standard-100-whey-protien-907g-1,GOLD STANDARD 100% WHEY PROTIEN 907G,788.00,no,Vitamins & Supplements,gold-standard-100-whey-protien-907g-1.jpg,NO,medium,consumer category: Vitamins & Supplements,,
green-tea,GREEN TEA,45.00,yes,Other,green-tea.jpg,NO,medium,consumer category: Other,,
griseofulvin-susp,GRISEOFULVIN SUSP,25.00,yes,,griseofulvin-susp.jpg,YES,high,prescription-only active: griseofulv,,
gyno-mycolex-pessary-400mg,GYNO-MYCOLEX PESSARY 400MG,60.00,yes,Feminine Care,gyno-mycolex-pessary-400mg.jpg,YES,low,"REVIEW — dosage form, active not recognised",,
hair-brush-long,HAIR BRUSH LONG,20.00,yes,Beauty & Toiletries,hair-brush-long.webp,NO,medium,consumer category: Beauty & Toiletries,,
